State/UTs,Geographical area,Very dense forest,Mod. dense forest,Open forest,Total forest,Percentage of geographical area,Scrub
Andhra Pradesh,"1,62,968","1,994","13,938","13,205","29,137",17.88,"8,255"
Arunachal Pradesh,"83,743","21,095","30,557","15,036","66,688",79.63,229
Assam,"78,438","2,795","10,279","15,253","28,327",36.11,173
Bihar,"94,163",333,"3,280","3,693","7,306",7.76,250
Chhattisgarh,"1,35,192","7,068","32,198","16,345","55,611",41.13,610
Delhi,"1,483",6.72,56.42,132.30,195.44,13.18,0.30
Goa,"3,702",538,576,"1,123","2,237",60.43,0
Gujarat,"1,96,244",378,"5,092","9,387","14,857",7.57,"2,994"
Haryana,"44,212",28,451,"1,123","1,602",3.62,154
Himachal Pradesh,"55,673","3,113","7,126","5,195","15,434",27.72,315
Jammu & Kashmir,"2,22,236","4,281","8,612","10,719","23,612",10.62,548
Jharkhand,"79,716","2,603","9,687","11,321","23,611",29.62,688
Karnataka,"1,91,791","4,501","21,048","13,026","38,575",20.11,"4,484"
Kerala,"38,852","1,935","9,508","9,701","21,144",54.42,13
Madhya Pradesh,"3,08,252","6,676","34,341","36,465","77,482",25.14,"6,002"
Maharashtra,"3,07,713","8,721","20,572","21,485","50,778",16.50,"4,256"
Manipur,"22,327",905,"6,386","9,556","16,847",75.46,"1,181"
Meghalaya,"22,429",489,"9,267","7,363","17,119",76.33,600
Mizoram,"21,081",157,"5,801","12,048","18,006",85.41,1
Nagaland,"16,579","1,273","4,534","6,679","12,486",75.31,635
Odisha,"1,55,707","6,970","21,552","23,097","51,619",33.15,"4,327"
Punjab,"50,362",8,801,"1,040","1,849",3.67,33
Rajasthan,"3,42,239",78,"4,342","12,210","16,630",4.86,"4,760"
Sikkim,"7,096","1,102","1,552",688,"3,342",47.10,307
Tamil Nadu,"1,30,060","3,605","11,030","11,729","26,364",20.27,715
Telangana,"1,12,077","1,608","8,787","10,187","20,582",18.36,"3,615"
Tripura,"10,486",654,"5,236","1,836","7,726",73.68,29
Uttar Pradesh,"2,40,928","2,617","4,080","8,109","14,806",6.15,587
Uttarakhand,"53,483","5,047","12,805","6,451","24,303",45.44,383
West Bengal,"88,752","3,019","4,160","9,723","16,902",19.04,146
A & N Islands,"8,249","5,678",684,381,"6,743",81.74,1
Chandigarh,114,1.36,14.24,6.43,22.03,19.32,0.10
Dadra & Nagar Haveli,491,0,80,127,207,42.16,5
Daman & Diu,111,1.40,5.69,13.40,20.49,18.46,0.19
Lakshadweep,30,0,16.09,11.01,27.10,90.33,0.00
Puducherry,490,0,17.66,34.75,52.41,10.70,0.00
Grand Total,"32,87,469","99,278","3,08,472","3,04,499","7,12,249",21.67,"46,297"
